population,households,total_rooms
322.0,126.0,880.0
2401.0,1138.0,7099.0
496.0,177.0,1467.0
558.0,219.0,1274.0
565.0,259.0,1627.0
413.0,193.0,919.0
1094.0,514.0,2535.0
1157.0,647.0,3104.0
1206.0,595.0,2555.0
1551.0,714.0,3549.0
910.0,402.0,2202.0
1504.0,734.0,3503.0
1098.0,468.0,2491.0
345.0,174.0,696.0
1212.0,620.0,2643.0
697.0,264.0,1120.0
793.0,331.0,1966.0
648.0,303.0,1228.0
990.0,419.0,2239.0
690.0,275.0,1503.0
409.0,166.0,751.0
929.0,366.0,1639.0
1015.0,478.0,2436.0
853.0,325.0,1688.0
1006.0,422.0,2224.0
317.0,119.0,535.0
607.0,239.0,1130.0
1102.0,397.0,1898.0
1131.0,473.0,2082.0
395.0,155.0,729.0
863.0,378.0,1916.0
1168.0,441.0,2153.0
1026.0,335.0,1922.0
754.0,329.0,1655.0
1258.0,536.0,2665.0
570.0,264.0,1215.0
987.0,374.0,1798.0
901.0,403.0,1511.0
689.0,309.0,1470.0
1377.0,696.0,2432.0
946.0,395.0,1665.0
517.0,249.0,936.0
462.0,189.0,713.0
467.0,198.0,950.0
660.0,292.0,1443.0
718.0,382.0,1656.0
616.0,304.0,1125.0
558.0,253.0,1007.0
423.0,160.0,624.0
700.0,352.0,946.0
735.0,438.0,896.0
1061.0,407.0,1868.0
1959.0,720.0,3221.0
1162.0,400.0,1630.0
701.0,233.0,1170.0
576.0,220.0,945.0
622.0,259.0,1238.0
728.0,244.0,1489.0
1074.0,304.0,1387.0
94.0,57.0,158.0
554.0,187.0,1121.0
86.0,23.0,135.0
377.0,122.0,760.0
521.0,159.0,1224.0
392.0,133.0,828.0
604.0,187.0,1010.0
788.0,332.0,1455.0
492.0,147.0,1027.0
274.0,82.0,572.0
1823.0,611.0,2801.0
392.0,127.0,768.0
582.0,277.0,935.0
560.0,152.0,844.0
18.0,7.0,12.0
290.0,133.0,835.0
762.0,439.0,1237.0
1236.0,509.0,2914.0
721.0,207.0,1207.0
1054.0,325.0,1745.0
344.0,155.0,684.0
609.0,289.0,924.0
183.0,56.0,210.0
200.0,87.0,340.0
346.0,155.0,386.0
467.0,169.0,948.0
377.0,115.0,773.0
582.0,380.0,880.0
546.0,330.0,875.0
125.0,39.0,105.0
396.0,85.0,249.0
800.0,362.0,994.0
904.0,88.0,215.0
191.0,34.0,96.0
718.0,302.0,1055.0
1327.0,467.0,1715.0
3469.0,2323.0,5329.0
2048.0,1180.0,4596.0
202.0,91.0,335.0
2024.0,1250.0,3682.0
1838.0,980.0,3633.0
2304.0,1250.0,4656.0
2563.0,1497.0,5806.0
389.0,228.0,854.0
895.0,613.0,2155.0
2689.0,1789.0,5871.0
674.0,244.0,1509.0
709.0,456.0,2026.0
686.0,422.0,1758.0
1444.0,718.0,3481.0
1520.0,802.0,3337.0
550.0,253.0,1424.0
1806.0,1022.0,3809.0
1749.0,1217.0,3959.0
939.0,519.0,2376.0
675.0,422.0,1613.0
534.0,291.0,1279.0
2558.0,1661.0,5022.0
1786.0,1037.0,4190.0
970.0,373.0,2515.0
1098.0,485.0,3175.0
794.0,376.0,2576.0
98.0,47.0,334.0
1061.0,403.0,2800.0
1177.0,555.0,3529.0
901.0,367.0,2612.0
2031.0,956.0,5287.0
1031.0,479.0,2935.0
1358.0,597.0,3424.0
1616.0,654.0,4991.0
844.0,343.0,2211.0
1140.0,496.0,3038.0
533.0,194.0,1617.0
1072.0,443.0,2865.0
1627.0,766.0,5065.0
463.0,190.0,1326.0
542.0,211.0,1589.0
661.0,269.0,1791.0
635.0,263.0,1835.0
420.0,176.0,1229.0
1265.0,500.0,3770.0
126.0,52.0,292.0
813.0,350.0,2375.0
1067.0,426.0,2964.0
1260.0,552.0,2833.0
951.0,487.0,2254.0
510.0,224.0,1389.0
765.0,308.0,1971.0
1129.0,460.0,2183.0
1073.0,441.0,2286.0
1185.0,515.0,2721.0
756.0,340.0,2024.0
1034.0,521.0,2944.0
787.0,459.0,2033.0
612.0,213.0,1433.0
1021.0,380.0,2927.0
861.0,258.0,2315.0
953.0,327.0,2485.0
634.0,256.0,1490.0
878.0,352.0,2814.0
918.0,483.0,2093.0
360.0,175.0,888.0
1197.0,488.0,2087.0
1048.0,518.0,2513.0
1373.0,747.0,3232.0
1715.0,1015.0,4120.0
1359.0,722.0,2364.0
1062.0,413.0,1471.0
1335.0,773.0,2468.0
1171.0,429.0,1632.0
1475.0,460.0,1786.0
742.0,196.0,629.0
1086.0,363.0,1339.0
1645.0,543.0,1678.0
1710.0,644.0,2344.0
731.0,228.0,996.0
1118.0,347.0,1591.0
1006.0,335.0,1586.0
1213.0,554.0,2046.0
772.0,257.0,1192.0
1321.0,401.0,1803.0
1487.0,677.0,2838.0
488.0,186.0,783.0
949.0,392.0,1590.0
1149.0,415.0,1746.0
844.0,280.0,1252.0
4367.0,1231.0,5963.0
1659.0,412.0,1783.0
1011.0,263.0,999.0
1464.0,389.0,1469.0
1237.0,303.0,1372.0
647.0,168.0,674.0
1284.0,357.0,1626.0
228.0,55.0,175.0
381.0,123.0,461.0
846.0,227.0,902.0
1659.0,676.0,2373.0
520.0,138.0,391.0
866.0,259.0,1137.0
612.0,183.0,769.0
415.0,126.0,472.0
994.0,213.0,862.0
1525.0,477.0,1920.0
1506.0,438.0,1420.0
1008.0,255.0,986.0
2813.0,751.0,2340.0
1481.0,343.0,1696.0
859.0,219.0,1175.0
1608.0,523.0,2343.0
425.0,140.0,610.0
564.0,184.0,930.0
961.0,272.0,1487.0
2273.0,685.0,3424.0
600.0,195.0,762.0
1647.0,527.0,2366.0
1201.0,424.0,1826.0
2167.0,659.0,3049.0
939.0,340.0,1640.0
859.0,292.0,1543.0
1517.0,516.0,2364.0
1143.0,386.0,1745.0
1109.0,464.0,2003.0
1221.0,446.0,2018.0
1115.0,455.0,3045.0
706.0,268.0,1547.0
1883.0,706.0,3519.0
804.0,340.0,2070.0
506.0,252.0,1321.0
610.0,238.0,1694.0
768.0,332.0,1938.0
462.0,184.0,968.0
667.0,235.0,1060.0
1059.0,399.0,2041.0
637.0,277.0,1813.0
1106.0,454.0,2718.0
1737.0,669.0,3144.0
1009.0,390.0,1802.0
737.0,210.0,882.0
1354.0,491.0,1621.0
1530.0,474.0,2115.0
1410.0,480.0,2021.0
1390.0,569.0,2239.0
1065.0,269.0,1477.0
792.0,245.0,1056.0
779.0,245.0,898.0
2269.0,610.0,2968.0
1227.0,407.0,1702.0
753.0,241.0,881.0
547.0,135.0,494.0
